"Cluster","Cluster Enrichment Score","Category","Term","Count","List Total","Pop Hits","Pop Total","%","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","User Ids"
"46","0.56","GOTERM_MF_DIRECT","C-C chemokine binding","4","637","38","21154","0.54","1.05e-1","1.00e+0","3.50","1.00e+0","1.00e+0","2.68e-2","ENSDARG00000105363,ENSDARG00000069028,ENSDARG00000079829,ENSDARG00000105467"
"46","0.56","GOTERM_MF_DIRECT","C-C chemokine receptor activity","4","637","39","21154","0.54","1.12e-1","1.00e+0","3.41","1.00e+0","1.00e+0","2.91e-2","ENSDARG00000105363,ENSDARG00000069028,ENSDARG00000079829,ENSDARG00000105467"
"46","0.56","GOTERM_MF_DIRECT","chemokine receptor activity","3","637","21","21154","0.40","1.30e-1","1.00e+0","4.74","1.00e+0","1.00e+0","2.41e-2","ENSDARG00000105363,ENSDARG00000079829,ENSDARG00000105467"
"46","0.56","INTERPRO","Chemokine_rcpt","3","719","23","23408","0.40","1.56e-1","1.00e+0","4.25","1.00e+0","1.00e+0","3.24e-2","ENSDARG00000105363,ENSDARG00000079829,ENSDARG00000105467"
"46","0.56","GOTERM_BP_DIRECT","cell chemotaxis","4","644","48","20756","0.54","1.86e-1","1.00e+0","2.69","1.00e+0","1.00e+0","6.11e-2","ENSDARG00000105363,ENSDARG00000069028,ENSDARG00000079829,ENSDARG00000105467"
"46","0.56","INTERPRO","CCR1-9-like","4","719","52","23408","0.54","2.14e-1","1.00e+0","2.50","1.00e+0","1.00e+0","7.52e-2","ENSDARG00000105363,ENSDARG00000069028,ENSDARG00000079829,ENSDARG00000105467"
"46","0.56","GOTERM_CC_DIRECT","external side of plasma membrane","9","683","206","22190","1.21","2.95e-1","1.00e+0","1.42","1.00e+0","9.97e-1","1.88e-1","ENSDARG00000105363,ENSDARG00000090834,ENSDARG00000058248,ENSDARG00000069028,ENSDARG00000069961,ENSDARG00000103413,ENSDARG00000037362,ENSDARG00000079829,ENSDARG00000105467"
"46","0.56","GOTERM_BP_DIRECT","positive regulation of cytosolic calcium ion concentration","4","644","78","20756","0.54","4.36e-1","1.00e+0","1.65","1.00e+0","1.00e+0","2.23e-1","ENSDARG00000105363,ENSDARG00000069028,ENSDARG00000079829,ENSDARG00000105467"
"46","0.56","GOTERM_BP_DIRECT","chemotaxis","4","644","90","20756","0.54","5.31e-1","1.00e+0","1.43","1.00e+0","1.00e+0","3.06e-1","ENSDARG00000105363,ENSDARG00000011449,ENSDARG00000079829,ENSDARG00000105467"
"46","0.56","GOTERM_BP_DIRECT","immune response","9","644","330","20756","1.21","8.06e-1","1.00e+0","0.88","1.00e+0","1.00e+0","6.99e-1","ENSDARG00000098752,ENSDARG00000040249,ENSDARG00000105363,ENSDARG00000060322,ENSDARG00000058248,ENSDARG00000092883,ENSDARG00000069028,ENSDARG00000079829,ENSDARG00000105467"
"46","0.56","INTERPRO","GPCR_Rhodpsn","12","719","723","23408","1.61","9.97e-1","1.00e+0","0.54","1.00e+0","1.00e+0","9.94e-1","ENSDARG00000109742,ENSDARG00000071298,ENSDARG00000105363,ENSDARG00000074661,ENSDARG00000069669,ENSDARG00000101969,ENSDARG00000069028,ENSDARG00000040816,ENSDARG00000079829,ENSDARG00000041292,ENSDARG00000105467,ENSDARG00000011876"
"46","0.56","INTERPRO","GPCR_Rhodpsn_7TM","12","719","733","23408","1.61","9.98e-1","1.00e+0","0.53","1.00e+0","1.00e+0","9.95e-1","ENSDARG00000109742,ENSDARG00000071298,ENSDARG00000105363,ENSDARG00000074661,ENSDARG00000069669,ENSDARG00000101969,ENSDARG00000069028,ENSDARG00000040816,ENSDARG00000079829,ENSDARG00000041292,ENSDARG00000105467,ENSDARG00000011876"
"47","0.52","UP_KW_PTM","Prenylation","11","250","176","8073","1.48","4.55e-2","5.46e-1","2.02","6.57e-1","5.46e-1","2.07e-2","ENSDARG00000070121,ENSDARG00000062865,ENSDARG00000055534,ENSDARG00000045694,ENSDARG00000034771,ENSDARG00000007257,ENSDARG00000007751,ENSDARG00000100752,ENSDARG00000013415,ENSDARG00000062537,ENSDARG00000008867"
"47","0.52","SMART","RAB","10","372","216","13267","1.34","1.53e-1","1.00e+0","1.65","1.00e+0","1.00e+0","8.27e-2","ENSDARG00000070121,ENSDARG00000014763,ENSDARG00000099996,ENSDARG00000062865,ENSDARG00000079468,ENSDARG00000034771,ENSDARG00000036637,ENSDARG00000007257,ENSDARG00000100752,ENSDARG00000008867"
"47","0.52","GOTERM_MF_DIRECT","GTPase activity","18","637","440","21154","2.42","1.74e-1","1.00e+0","1.36","1.00e+0","1.00e+0","1.18e-1","ENSDARG00000070121,ENSDARG00000099996,ENSDARG00000099779,ENSDARG00000079468,ENSDARG00000071059,ENSDARG00000007257,ENSDARG00000087869,ENSDARG00000008867,ENSDARG00000069937,ENSDARG00000060383,ENSDARG00000014763,ENSDARG00000062865,ENSDARG00000086228,ENSDARG00000040300,ENSDARG00000014233,ENSDARG00000034771,ENSDARG00000036637,ENSDARG00000100752"
"47","0.52","SMART","RHO","8","372","174","13267","1.07","2.15e-1","1.00e+0","1.64","1.00e+0","1.00e+0","1.17e-1","ENSDARG00000070121,ENSDARG00000099996,ENSDARG00000062865,ENSDARG00000079468,ENSDARG00000034771,ENSDARG00000007257,ENSDARG00000100752,ENSDARG00000008867"
"47","0.52","SMART","RAS","8","372","182","13267","1.07","2.48e-1","1.00e+0","1.57","1.00e+0","1.00e+0","1.40e-1","ENSDARG00000070121,ENSDARG00000099996,ENSDARG00000062865,ENSDARG00000079468,ENSDARG00000034771,ENSDARG00000007257,ENSDARG00000100752,ENSDARG00000008867"
"47","0.52","UP_KW_LIGAND","GTP-binding","17","238","449","7893","2.28","2.74e-1","8.30e-1","1.26","1.00e+0","8.30e-1","1.97e-1","ENSDARG00000070121,ENSDARG00000099996,ENSDARG00000079468,ENSDARG00000018750,ENSDARG00000071059,ENSDARG00000007257,ENSDARG00000087869,ENSDARG00000056591,ENSDARG00000008867,ENSDARG00000069937,ENSDARG00000060383,ENSDARG00000062865,ENSDARG00000086228,ENSDARG00000040300,ENSDARG00000014233,ENSDARG00000034771,ENSDARG00000100752"
"47","0.52","GOTERM_MF_DIRECT","GTP binding","22","637","605","21154","2.95","2.77e-1","1.00e+0","1.21","1.00e+0","1.00e+0","2.06e-1","ENSDARG00000070121,ENSDARG00000099996,ENSDARG00000099779,ENSDARG00000079468,ENSDARG00000018750,ENSDARG00000071059,ENSDARG00000092883,ENSDARG00000007257,ENSDARG00000087869,ENSDARG00000056591,ENSDARG00000008867,ENSDARG00000069937,ENSDARG00000060383,ENSDARG00000014763,ENSDARG00000062865,ENSDARG00000086228,ENSDARG00000040300,ENSDARG00000014233,ENSDARG00000060322,ENSDARG00000034771,ENSDARG00000036637,ENSDARG00000100752"
"47","0.52","GOTERM_MF_DIRECT","GDP binding","3","637","37","21154","0.40","3.06e-1","1.00e+0","2.69","1.00e+0","1.00e+0","9.95e-2","ENSDARG00000099996,ENSDARG00000062865,ENSDARG00000008867"
