"Cluster","Cluster Enrichment Score","Category","Term","Count","List Total","Pop Hits","Pop Total","%","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","User Ids"
"47","0.89","UP_SEQ_FEATURE","ACT_SITE:Tele-phosphohistidine intermediate","3","1250","19","21277","0.22","3.08e-1","1.00e+0","2.69","1.00e+0","1.00e+0","9.72e-2","ENSDARG00000057571,ENSDARG00000023840,ENSDARG00000037140"
"47","0.89","UP_SEQ_FEATURE","ACT_SITE:Proton donor/acceptor","5","1250","80","21277","0.36","6.98e-1","1.00e+0","1.06","1.00e+0","1.00e+0","5.10e-1","ENSDARG00000057571,ENSDARG00000023840,ENSDARG00000031770,ENSDARG00000037140,ENSDARG00000003841"
"47","0.89","UP_KW_MOLECULAR_FUNCTION","Multifunctional enzyme","4","708","70","11803","0.29","7.99e-1","1.00e+0","0.95","1.00e+0","1.00e+0","6.12e-1","ENSDARG00000002037,ENSDARG00000023840,ENSDARG00000087657,ENSDARG00000037140"
"48","0.86","INTERPRO","Peptidase_S9B_N","3","1340","6","23408","0.22","4.20e-2","1.00e+0","8.73","1.00e+0","1.00e+0","3.28e-3","ENSDARG00000104767,ENSDARG00000076826,ENSDARG00000024744"
"48","0.86","INTERPRO","Serine_Prot_S9B/DPPIV","3","1340","6","23408","0.22","4.20e-2","1.00e+0","8.73","1.00e+0","1.00e+0","3.28e-3","ENSDARG00000104767,ENSDARG00000076826,ENSDARG00000024744"
"48","0.86","UP_SEQ_FEATURE","DOMAIN:Dipeptidylpeptidase IV N-terminal","3","1250","6","21277","0.22","4.41e-2","1.00e+0","8.51","1.00e+0","1.00e+0","3.54e-3","ENSDARG00000104767,ENSDARG00000076826,ENSDARG00000024744"
"48","0.86","INTERPRO","Peptidase_S9_cat","3","1340","11","23408","0.22","1.28e-1","1.00e+0","4.76","1.00e+0","1.00e+0","2.18e-2","ENSDARG00000104767,ENSDARG00000076826,ENSDARG00000024744"
"48","0.86","UP_SEQ_FEATURE","DOMAIN:Peptidase S9 prolyl oligopeptidase catalytic","3","1250","11","21277","0.22","1.33e-1","1.00e+0","4.64","1.00e+0","1.00e+0","2.34e-2","ENSDARG00000104767,ENSDARG00000076826,ENSDARG00000024744"
"48","0.86","GOTERM_BP_DIRECT","regulation of potassium ion transmembrane transport","3","1221","16","20756","0.22","2.42e-1","1.00e+0","3.19","1.00e+0","1.00e+0","6.41e-2","ENSDARG00000104767,ENSDARG00000076826,ENSDARG00000024744"
"48","0.86","GOTERM_CC_DIRECT","voltage-gated potassium channel complex","6","1261","72","22190","0.44","3.89e-1","1.00e+0","1.47","1.00e+0","9.93e-1","2.25e-1","ENSDARG00000076644,ENSDARG00000062942,ENSDARG00000046014,ENSDARG00000104767,ENSDARG00000076826,ENSDARG00000024744"
